,text,intent
0,mẫu này còn k shop uie,3
1,mẫu này có hàng lại chưa shop ưi,3
2,đồng hồ bbr 305k còn k c ưi,3
3,nếu còn shop chốt cho exxxxx ạ,6
4,còn s k shop ưi,3
5,cho e hỏi còn k shop ưi,3
6,là 2 cái đó shop ạ,2
7,màu hồng cho e size l ạ,6
8,dạ e size m ạ,2
9,chân váy còn k shop ui,3
10,alo shop ưi,0
11,a lo,0
12,tổng tièn c bao nhiêu nà,3
13,e muốn mua 2 đai nịt bụng 2 màu size s ạ,6
14,shop ơi,0
15,liên hệ tư vấn viên,5
16,check tin dùm e với,5
17,shop ơi,0
18,get started,5
19,chim ưng lắm,4
20,979 cách mạng tháng 8 p7 q tân bình ạ,2
21,màu xanh và vàng ạ,2
22,bán e bộ đi nà,6
23,còn k shop ưi shop à,3
24,979 cmt8 p7 q tân bình tphcm ạ,2
25,chu chi nhuocxxxxx set chân váy cam ạ,2
26,e liên hệ hót line thì k một lần bắt máy,4
27,số đtxxxxx và địa chỉ 979 cmt8 p7 q tân bình ạ,2
28,e chào shop,0
29,shop còn set này k ạ,3
30,e chào shop ạ,0
31,áo khoát này con ko shop,3
32,shop ơi mình còn kính với quần đùi này ko shop,3
33,2 áo với quần này còn ko shop ơi mình ghé lấy,3
34,cái này còn thì mình lấy luôn 2 cái,6
35,mấy mẫu túi này mình còn ko shop ơi,3
36,mấy mẫu túi này mình còn ko shop ơi,3
37,vâng shop ở đâu bh z ạ nếu tiện mình lên thử luôn ạ,3
38,mẫu này còn ko shop ơi,3
39,bắt đầu,5
40,c ơi e đặt cái đen l,2
41,quan short ak chi,2
42,e lấy 1c,6
43,con ko chi oi,3
44,siz l,2
45,co siz ko chi oi,3
46,con ko chi oi,3
47,con ko shop,3
48,con ko chi oi,3
49,còn túi ko chi oi,3
50,con ko chi oi,3
51,con ko chi oi,3
52,quan nay con ko ạ,3
53,chi oi,0
54,giá quần bao nhiêu chi oi,3
55,chao shop,0
56,mẫu này size s còn ko c ơi,3
57,dạ vâng có dư size s thì để giúp em nha,2
58,mẫu đầm size s còn thì chốt em một cái nha c,6
59,liên hệ tư vấn viên,5
60,alo c ơi nhờ c hỏi c phương giúp em là em lấy 10 hộp mứt mà em ko lấy hộp thì giá tính sao ạ em cám ơn,3
61,em đặt mẫu này màu đỏ,2
62,bên c gửi nhầm mẫu cho em rồi,4
63,liên hệ tư vấn viên,5
64,alo c ơi,0
65,nước hoa victoria secret và d g nữ còn ko chị còn thì lấy em thêm 2 chai đó nữa ạ,3
66,lấy em 1 set với 2 set mặt nạ nhau thai đi chung với đơn vừa mới gọi chốt giùm em luôn đc ko ạ gọi chốt mà em quên báo,6
67,set son ysl còn ko ạ,3
68,liên hệ tư vấn viên,5
69,em mặc size s em cám ơn chị nhé,2
70,khoảng bao nhiêu kí mặc vừa ạ,3
71,mẫu này còn hàng ko ạ,3
72,liên hệ tư vấn viên,5
73,hai mẫu này còn ko chị,3
74,con túi nay hok c,3
75,2 cai ao kia het roi ha c,3
76,set nay co size hok c,3
77,nay con hok c,3
78,kcn tam phuoc bien hoa dong naixxxxx,2
79,lay e size m di c,2
80,mau nude c 1m53 nang 51kg,2
81,e lay set do nha c,6
82,set zoi ao khoac jean con hok c,3
83,liên hệ tư vấn viên,5
84,ib e zơi c,5
85,liên hệ tư vấn viên,5
86,quan nay con hok c,3
87,c ơi check tn cho e zoi,5
88,liên hệ tư vấn viên,5
89,c oi bô nay con hok,3
90,liên hệ tư vấn viên,5
91,tam phuoc bien hoa đông nai xxxxx,2
92,neu còn gưi e nha,6
93,liên hệ tư vấn viên,5
94,lay e bộ nay nha,6
95,bắt đầu,5
96,phuoc tan bien hoa đong nai,2
97,bắt đầu,5
98,minh chi mặc dc size m thoi,2
99,so mi trắng nay còn k shop,3
100,17c 17 kp 3 hô nai bien hoà dn,2
101,cho minh xin giá va tiền ship bn luôn ạxxxxx,3
102,set nay còn k shop size m,3
103,set này còn ko shop,3
104,size s nha em,6
105,số 20 đường số 62 p thảo điền quận 2 tphcm,2
106,vậy ship chị màu đen nha,6
107,mẫu này còn size m ko shop,3
108,lấy chị size m màu nâu mẫu này nha,6
109,số 20 đường 62 p thảo điền quận 2 tphcm,2
110,mẫu này còn size s ko shop,3
111,lay c 10 mieng mat na luon em,6
112,cua chi gia bnhiu het e ghi ra dum c nha,3
113,dchi cu nhen,2
114,lay 4 cai nay di e,6
115,sz s,2
116,4 mau ny con ko,3
117,con ko ak,3
118,sz s,6
119,con mẫu nào không em oi,3
120,lay c 2 chai,6
121,het nuoc hoa vung kin roi ha,3
122,don c tong cong bao nhiu tien vay em,3
123,số 18 sầm sơn p4 tân bìnhxxxxx trang ly,2
124,con k,3
125,số 18 sầm sơn p4 tân bìnhxxxxx trang ly,2
126,bộ cọ con k,3
127,nuoc hoa vung kin con k,3
128,c lay 4 mau nay,6
129,nuoc ho vung kin con k,3
130,bộ cọ xanh,6
131,nuoc hoa vùng kin 1 chai luon con ko e,3
132,xem dum c may mau nay con k cho di chung voi dam vàng sz mno tren luon dum c,3
133,số 18 sầm sơn p4 tân bìnhxxxxx trang ly,2
134,số 18 sầm sơn p4 tân bìnhxxxxx trang ly,2
135,số 18 sầm sơn p4 tân bìnhxxxxx trang ly,2
136,mẫu này còn ko shop,3
137,mẫu này còn ko shop,3
138,cho e xin giá các mẫu trên ạ báo màu cho e luôn nha,3
139,mẫu này size l còn ko shop,3
140,này bao nhiêu vậy shop,3
141,phương thảo,2
142,địa chỉ 290 29e đường 30 4 phường 3 tp sóc trăng tỉnh sóc trăng,2
143,đúng rồi e lấy trắng hết dùm chị nha,2
144,2 đầm này,6
145,chốt chị 2 đầm này nhà báo giá chị cái,6
146,2 mẫu này còn ko shop ơi live tối ngày 11 11,3
147,165k,2
148,mã 13 nâu,6
149,này còn ko shop,3
150,tổng đơn của chị bao nhiêu vậy e,3
151,cái áo hoa này nè e còn ko chốt cho chị luôn đi,3
152,phương thảoxxxxx,2
153,thảo có được chốt 2 mẫu này ko ah,3
154,hi shop ơi,0
155,alo alô shop ơi,0
156,thảoxxxxx sóc trăng,2
157,hi shop,0
158,nhieu vay e,3
159,con k chj,3
160,cai dam nay con k chj,3
161,chị oi lay e 2cai nay nha,6
162,2 mẫu này còn k ah,3
163,get started,5
164,mấy mẫu này còn ko ạ,3
165,đâm size l bnhiu vừa ạ,3
166,sacombank to 1 kp 3 tt cho n tha nh bi nh phu o cxxxxx,2
167,đầm cam size s,2
168,đầm đen,2
169,đầm đen với đầm cam này còn không ạ,3
170,đầm đen này còn k shop,3
171,shop ơi 3 mẫu này còn k ạ,3
172,sacombank tổ 1 kp 3 tt chơn thành bình phước,2
173,mình lấy 1 set size s ạ,6
174,set này còn không shop,3
175,lấy cho mình màu này nha gửi về địa chỉ cũ ạ,6
176,đầm này còn k shop,3
177,mình lấy set này nha shop ơi,6
178,liên hệ tư vấn viên,5
179,liên hệ tư vấn viên,5
180,shop check tn dùm mình với ạ,5
181,liên hệ tư vấn viên,5
182,nay nhận hàng shop giao nhầm mẫu cho mình rồi ạ,4
183,shop oi,0
184,nãy shop có gọi chốt quần s chốt thêm cho mình 2 áo này luôn nha shop ơi,6
185,áo hồng,6
186,áo trắng,6
187,quần s,6
188,shop ơi áo còn k shop mình lấy 1 cái ạ,3
189,chị ơi lấy e 1 quần này size s,6
190,vậy chị chốt dùm e đầm nude lúc nãy gọi luôn nha chị,6
191,lấy e thêm đầm này với ạ,6
192,màu tím nha shop xxxxx chợ ngọc lầu minh long chơn thành bình phước,6
193,shop chốt dùm mình set này với ạ,6
194,chợ ngọc lầu minh long chơn thành bình phước,2
195,thêm 2 mẫu này nữa ạ,6
196,size m chị nha,2
197,kèm quần này ạ,6
198,1 quần tag hoa cúc,6
199,353 3 đường phú lợi thủ dầu một bình dương,2
200,e lấy 2 set chị ơi,6
201,set này trắng còn k ạ,3
202,còn bo nay hok shop,3
203,52 kg,2
204,mình mặc size l,2
205,rin chứ hả em,3
206,còn quần đen rách size l kg shop,3
207,shop ơi hộp bánh mứt bán giá sĩ sao vậy,3
208,ấp vĩnh nghia xã vĩnh trường huyện an phú tỉnh an giang,2
209,chốt chị mẫu này,6
210,mẫu này còn ko,3
211,chị đặt mẫu này còn ko,3
212,chị 57kg mong 100 mẫu nào vừa,3
213,mấy mẫu này còn ko,3
214,đầm này 57kg mong 100 vừa ko,3
215,4 cái phải ko,3
216,tc của chị bn,3
217,chị lấy thêm 2 mẫu này hôm bữa chị đặt ko thấy kêu tên,6
218,còn thêm e 1c luôn ạ,6
219,liên hệ tư vấn viên,5
220,p ơi còn dư để e 1c với ạ,6
221,70 13 ngô đức đệ_ p bình định tx an nhơn tỉnh bình địnhxxxxx,2
222,sốxxxxx,2
223,bắt đầu,5
224,máy ủi hơi nước còn ko,3
225,liên hệ tư vấn viên,5
226,còn ủi hơi nuoc ko c,3
227,bắt đầu,5
228,đầm 06 hủy nha mặc ko vừa,8
229,đầm đỏ mặt kinh đầm trắng side l,2
230,túi ko co a,3
231,kieng ao màu hong mẫu mặc,2
232,túi nay nha,6
233,ok side l,6
234,mau trắng,2
235,đầm nay nha,6
236,tui và kieng,6
237,gio đen,6
238,đầm side l,6
239,lấy áo hồng side l,6
240,lấy kinh nhe,6
241,kieng con ko,3
242,cu lấy l cho chi,6
243,nặng 55 kg,2
244,mặc side l được ko,3
245,cái áo phuong đang mặc con ko màu hồng side l nhe,3
246,gọi số điện thoại nay nhe,5
247,con kieng nay ko ban,3
248,quần này size s còn ko ạ e lấy màu nào cung đc,3
249,set này size s còn ko gửi e nha shop,3
250,đầm nay size s nữa ạ shop con ko ạ,3
251,size m ạ,2
252,set nay con ko c,3
253,áo còn ko c ơi,3
